,UFID,BLD_NM,DONG_NM,GRND_FLR,UGRND_FLR,PNU,ARCHAREA,TOTALAREA,PLATAREA,HEIGHT,STRCT_CD,USABILITY,BC_RAT,VL_RAT,BLDRGST_PK,USEAPR_DAY,REGIST_DAY,GB_CD,VIOL_BD_YN,GEOIDN,BLDG_PNU,BLDG_PNU_Y,BLD_UNLICE,BD_MGT_SN,SGG_OID,COL_ADM_SE,geometry
30,0000201909074436302900000000,,,0,0,1165010800113230009,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B0010000000131N05,,,,1165010800113230009023201,7771,11650,"POLYGON ((201914.0789999999 443627.8479999993, 201906.6569999997 443625.1300000008, 201904.2510000002 443632.8800000008, 201911.2359999996 443635.4729999993, 201914.0789999999 443627.8479999993))"
31,1999202380864438330100000000,？??踰??？ㅽ?,,21,7,1165010800113190011,833.9,21686.79,1322.3,83.8,42,14000,63.06,1146.53,17222,19990223,20210316,0,0,B001000000012UHF7,,,,1165010800113190012022993,20063,11650,"POLYGON ((202398.2429999998 443824.5610000007, 202374.0860000001 443814.1229999997, 202363.4460000005 443842.3739999998, 202388.1339999996 443851.2170000002, 202398.2429999998 443824.5610000007))"
32,1995202121394438181200000000,강남빌딩,,21,6,1165010800113210000,1199.6,36202.94,2702.5,83.08,42,14000,44.39,875.55,17224,19951230,20200731,0,0,B0010000000129E8B,,,,1165010800113210002022444,10364,11650,"POLYGON ((202103.5839999998 443825.3780000005, 202102.7240000004 443827.4399999995, 202102.6150000002 443828.9399999995, 202102.6150000002 443829.4399999995, 202102.6619999995 443829.6270000003, 202102.8339999998 443830.0960000008, 202103.0060000001 443830.3149999995, 202103.2709999997 443830.5649999995, 202103.3810000001 443830.6270000003, 202107.443 443832.284, 202105.8339999998 443837.2210000008, 202125.9910000004 443844.2530000005, 202141.0209999997 443804.5649999995, 202141.8499999996 443802.3780000005, 202141.0209999997 443802.0649999995, 202116.1150000002 443792.4399999995, 202103.7400000002 443825.0020000003, 202103.5839999998 443825.3780000005))"
33,1985202243684440719100000000,강남빌딩,,6,1,1165010800113170007,207.58,1428.14,353.5,20.16,21,04000,58.72,331.87,14265,19850722,20170322,0,0,B001000000012U2V8,,,,1165010800113170007020009,22526,11650,"POLYGON ((202254.4170000004 444070.534, 202236.3389999997 444063.9399999995, 202233.0259999996 444073.1280000005, 202250.6830000002 444080.0030000005, 202254.4170000004 444070.534))"
34,0000202099914438317500000000,,,0,0,1165010800113210000,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,,,,,,10717,11650,"POLYGON ((202103.0060000001 443830.3149999995, 202098.5209999997 443828.5960000008, 202096.7400000002 443833.1290000007, 202101.443 443834.909, 202103.0060000001 443830.3149999995))"
35,0000201985204440365100000000,서일중학교,수위실,1,0,1165010800113130000,53.4,53.4,0.0,0.0,19,10000,0.0,0.0,100190915,,20200425,1,0,,,,,,11329,11650,"POLYGON ((201984.665 444041.2880000006, 201986.3370000003 444037.2880000006, 201991.6179999998 444039.3499999996, 201993.102 444035.3819999993, 201984.2429999998 444031.8499999996, 201982.9929999998 444034.8190000001, 201979.852 444033.6630000006, 201977.9460000005 444038.4440000001, 201984.665 444041.2880000006))"
36,0000202063074436881600000000,,,0,0,1165010800113220000,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B00100000001308LA,,,,1165010800113220017022482,9453,11650,"POLYGON ((202072.2690000003 443685.8780000005, 202057.4400000004 443680.5649999995, 202053.8789999997 443690.4399999995, 202068.6909999996 443695.784, 202072.2690000003 443685.8780000005))"
37,0000201916614436316800000000,,,0,0,1165010800113230009,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B0010000000131ZFW,,,,,9780,11650,"POLYGON ((201914.7039999999 443626.4419999998, 201914.1730000004 443627.8800000008, 201912.2209999999 443633.2540000007, 201920.5489999996 443636.4729999993, 201921.6270000003 443633.4419999998, 201917.5489999996 443631.9110000003, 201918.9859999996 443627.9729999993, 201914.7039999999 443626.4419999998))"
38,1991202067804439436200000000,,,10,4,1165010800113160004,328.53,4882.53,0.0,0.0,21,14000,0.0,0.0,17214,19910805,20191128,0,0,B001000000012YSX5,,,,1165010800113160004027661,20650,11650,"POLYGON ((202081.148 443941.4419999998, 202059.2419999996 443932.9419999998, 202054.4759999998 443945.5979999993, 202076.1330000004 443954.4419999998, 202081.148 443941.4419999998))"
39,1997202394394437979800000000,서초현대타워아파트,,30,7,1165010800113190013,718.05,20997.91,1371.9,98.13,42,02000,52.34,1051.83,17223,19971128,20200820,0,0,B001000000012U69P,,,,1165010800113190013023093,16479,11650,"POLYGON ((202399.8509999998 443816.8739999998, 202400.023 443816.0610000007, 202401.3360000001 443816.8110000007, 202409.9450000003 443793.9350000005, 202408.7259999998 443793.4350000005, 202410.3200000003 443788.9979999997, 202398.5389999999 443784.6539999992, 202385.227 443779.6539999992, 202380.727 443791.0610000007, 202382.7419999996 443791.5299999993, 202379.6009999998 443801.3110000007, 202383.102 443802.6549999993, 202381.9139999999 443806.4670000002, 202383.4450000003 443807.1239999998, 202382.3669999996 443809.5610000007, 202398.6639999999 443816.4049999993, 202399.8509999998 443816.8739999998))"
